x1,x2,x3,x4,x5,x6,x7,x8,x9,label
1,3,1,0,1,-10,-2,-6,-7,NROI
2,0,12,0,-11,40,-7,-8,38,NROI
-38,-26,29,-49,2,23,-46,0,21,NROI
-44,11,8,-16,5,0,-18,3,0,NROI
11,8,-10,5,0,-14,3,0,-15,NROI
22,4,-4,14,0,-9,14,-1,-9,NROI
9,1,0,5,-4,-5,4,-4,-6,NROI
5,4,3,0,-1,-3,0,-2,-3,NROI
6,5,5,1,-1,-1,0,-1,0,NROI
4,4,4,-2,-2,0,-2,-1,3,NROI
1,1,2,-5,-3,-2,-4,0,0,NROI
1,2,2,-3,-2,-3,0,0,-3,NROI
4,4,4,0,-1,-1,2,-1,-2,NROI
4,4,6,-1,-1,2,-1,-2,0,NROI
1,3,7,-4,-1,3,-5,-3,0,NROI
0,4,-19,-4,0,8,-6,-3,7,NROI
7,-16,-33,3,11,-34,0,10,-15,NROI
13,-4,0,40,-5,-5,39,14,-11,NROI
1,5,2,0,0,-2,19,-6,-7,NROI
8,5,-10,3,1,0,-3,-4,0,NROI
5,-10,-37,1,0,-75,-4,0,6,NROI
-10,-37,46,0,-75,41,0,6,-93,NROI
-72,11,11,-110,6,8,-29,-128,0,NROI
3,3,0,-2,0,0,-136,-8,-1,NROI
3,0,3,0,0,0,-8,-1,10,NROI
0,3,-95,0,0,3,-1,10,63,NROI
3,-95,-42,0,3,-43,10,63,-45,NROI
-53,0,2,45,-1,0,105,-3,-7,NROI
6,7,-4,4,0,-1,-1,0,1,NROI
6,-5,46,-1,-2,44,-1,0,44,NROI
-49,2,23,-46,0,21,-44,0,20,NROI
-16,5,0,-18,3,0,-18,2,0,NROI
5,0,-14,3,0,-15,2,0,-14,NROI
14,0,-9,14,-1,-9,14,0,-6,NROI
9,0,-1,8,0,-2,9,3,0,NROI
1,0,-2,1,-1,-2,4,1,0,NROI
1,-1,-1,0,-1,0,2,1,3,NROI
-1,-1,1,-1,0,4,1,3,-1,NROI
-2,0,1,-1,3,3,2,-2,-26,NROI
0,1,0,3,3,0,-2,-26,3,NROI
1,0,0,3,0,-1,-26,3,-2,NROI
0,0,3,0,-1,1,3,-2,2,NROI
-2,1,5,-3,-1,2,-4,0,2,NROI
-1,3,11,-3,0,10,-2,0,8,NROI
3,11,-34,0,10,-15,0,8,-8,NROI
26,-19,-19,25,0,-25,23,7,-16,NROI
0,0,-2,19,-6,-7,26,3,-2,NROI
2,0,-1,-4,-5,-1,5,0,1,NROI
0,-1,-76,-5,-1,5,0,1,9,NROI
0,-75,41,0,6,-93,2,10,-47,NROI
-81,35,37,0,-99,29,4,-53,-14,NROI
0,2,2,-134,-6,1,-88,-49,28,NROI
0,0,0,-8,-1,10,-51,26,64,NROI
-10,-10,-7,-11,0,53,16,54,59,NROI
-3,0,-46,7,60,-48,61,66,-53,NROI
46,0,1,106,-2,-6,112,-7,-6,NROI
4,0,-1,-1,0,1,-7,55,-4,NROI
-1,-2,44,-1,0,44,54,-5,44,NROI
-46,0,21,-44,0,20,-49,0,27,NROI
-18,3,0,-18,2,0,-18,9,1,NROI
3,0,-15,2,0,-14,9,1,-12,NROI
14,-1,-9,14,0,-6,15,2,-5,NROI
4,-4,-6,5,-1,-4,7,0,0,NROI
0,-2,-3,3,0,-1,4,4,-5,NROI
0,-1,0,2,1,3,6,-3,-6,NROI
0,1,5,2,4,0,-2,-5,-20,NROI
1,5,5,4,0,-24,-5,-20,-49,NROI
5,5,2,0,-24,5,-20,-49,-71,NROI
5,2,1,-24,5,0,-49,-71,-82,NROI
0,-1,1,3,-2,2,-73,-84,1,NROI
-2,0,3,-3,1,3,-85,0,5,NROI
-3,0,10,-2,0,8,-3,2,11,NROI
0,10,-15,0,8,-8,2,11,-11,NROI
21,-4,-29,19,3,-20,22,0,-12,NROI
